idno,identifier,author,title,date,decade,genre,insp-type,insp-region
tc0001,tc0001,AbeilleG,Lyncee,1681,1680s,Tragédie,mythe,grece
tc0007,tc0007,AllainvalA,EcoleBourgois,1728,1720s,Comédie,moeurs,france
tc0025,tc0025,BaranteC,ArlequinMisanthrope,1697,1690s,Comédie,moeurs,france
tc0027,tc0027,Barante-dufesny,PasquinMarforio,1697,1690s,Comédie,moeurs,france
tc0030,tc0030,BeaumarchaisP,BarbierSeville,1775,1770s,Comédie,moeurs,espagne
tc0034,tc0034,BenseradeI,Cleopatre,1636,1630s,Tragédie,histoire,rome
tc0035,tc0035,BenseradeI,MortAchille1,1636,1630s,Tragédie,mythe,grece
tc0037,tc0037,BeysC,CelineFreres,1637,1630s,Tragi-comédie,histoire,europe
tc0039,tc0039,BiancolelliP,EcoleGalante,1711,1710s,Comédie,moeurs,france
tc0047,tc0047,BoisrobertF,Cassandre,1654,1650s,Tragi-comédie,moeurs,france
tc0048,tc0048,BoisrobertF,RivauxAmis,1668,1660s,Tragi-comédie,moeurs,france
tc0051,tc0051,BoissyL,DehorsTrompeurs,1740,1740s,Comédie,moeurs,france
tc0053,tc0053,BoissyL,HommeJour,1732,1730s,Comédie,moeurs,france
tc0054,tc0054,BoissyL,MedecinOccasion,1745,1740s,Comédie,moeurs,france
tc0055,tc0055,BoissyL,VieSonge,1732,1730s,Comédie,moeurs,europe
tc0058,tc0058,BoursaultE,ComedieTitre,1694,1690s,Comédie,moeurs,france
tc0059,tc0059,BoursaultE,EsopeCour,1701,1700s,Comédie,mythe,grece
tc0061,tc0061,BoursaultE,Germanicus,1694,1690s,Tragédie,histoire,rome
tc0063,tc0063,BoursaultE,MarieStuard,1691,1690s,Tragédie,histoire,europe
tc0065,tc0065,BoursaultE,MortVivant,1662,1660s,Comédie,moeurs,espagne
tc0069,tc0069,BoyerC,Agamemnon,1680,1680s,Tragédie,mythe,grece
tc0070,tc0070,BoyerC,AmoursJupiter,1666,1660s,Tragédie,mythe,grece
tc0071,tc0071,BoyerC,Aristodeme,1648,1640s,Tragédie,histoire,grece
tc0072,tc0072,BoyerC,Artaxerce1,1683,1680s,Tragédie,histoire,orient
tc0073,tc0073,BoyerC,Federic,1660,1660s,Tragi-comédie,moeurs,europe
tc0074,tc0074,BoyerC,Judith,1695,1690s,Tragédie,bible,divers
tc0076,tc0076,BoyerC,MortEnfants,1648,1640s,Tragédie,histoire,rome
tc0077,tc0077,BoyerC,Oropaste,1663,1660s,Tragédie,histoire,orient
tc0078,tc0078,BoyerC,PorcieRomaine,1646,1640s,Tragédie,histoire,rome
