title,source_type,source,google_books_return,unique_id,auth1_first,auth1_last,field,first_pub_date,born_digital
Anarchism and Other Essays,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,1,Emma,Goldman,Feminism,1910,Born Digital
The Morality of Birth Control,Ebook,PUBLIC_DOMAIN,FALSE,2,Margaret,Sanger,Feminism,1921,Born Digital
The Second Sex,Ebook,INDIVIDUAL_EBOOK_PURCHASE,FALSE,3,Simone,de Beauvoir,Feminism,1949,Born Digital
"""Women as a Minority Group""",Article,ARTICLE,FALSE,4,Helen Mayer,Hacker,Feminism,1951,Born Digital
The Feminine Mystique,Print,LIBRARY_SCAN,FALSE,5,Betty,Friedan,Feminism,1963,Digitized
SCUM Manifesto,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,6,Valerie,Solanas,Feminism,1968,Born Digital
Thinking about Women,Google Books,GOOGLE_BOOKS,DIGI-SCAN,7,Mary,Ellmann,Feminism,1968,Digitized
The Troublesome Helpmate: A History of Misogyny in Literature,Print,LIBRARY_SCAN,FALSE,8,Katharine M.,Rogers,Feminism,1968,Digitized
Problems of Women's Liberation,Print,LIBRARY_SCAN,FALSE,9,Evelyn,Reed,Feminism,1969,Digitized
Sexual Politics,Ebook,EBOOK_PURCHASED,FALSE,10,Kate,Millett,Feminism,1970,Born Digital
The Female Eunuch,Ebook,EBOOK_PURCHASED,DIGI-SENT,11,Germaine,Greer,Feminism,1970,Born Digital
Black Women's Liberation,Print,LIBRARY_SCAN,FALSE,12,Williams,Williams,Feminism,1970,Digitized
The Dialectic of Sex,Google Books,GOOGLE_BOOKS,DIGI-SCAN,13,Shulamith,Firestone,Feminism,1970,Digitized
"""What the Black Woman Thinks about Women's Lib""",Article,ARTICLE,FALSE,14,Toni,Morrison,Feminism,1971,Born Digital
Women Hating: A Radical Look at Sexuality,Google Books,GOOGLE_BOOKS,DIGI-SENT,15,Andrea,Dworkin,Feminism,1974,Digitized
Women Take Issue: Aspects of Women's Subordination,Google Books,GOOGLE_BOOKS,DIGI-SCAN,17,,"Women's Studies Group, Center for Contemporary Cultural Studies",Feminism,1978,Digitized
Pornography: Men Possessing Women,Google Books,GOOGLE_BOOKS,DIGI-SCAN,18,Andrea,Dworkin,Feminism,1981,Digitized
This Bridge Called My Back: Writings by Radical Women of Color,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,19,Cherríe,,Feminism,1981,Born Digital
"""Under Western Eyes""",Article,ARTICLE,FALSE,21,Chandra Talpade,Mohanty,Feminism,1984,Born Digital
Gyn/Ecology,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,22,Mary,Daly,Feminism,1987,Born Digital
"""My Words to Victor Frankenstein above the Village of Chamounix""",Article,ARTICLE,FALSE,23,Susan,Stryker,Feminism,1994,Born Digital
Scenes of Subjection,Print,DESTRUCTIVE_SCAN,FALSE,24,Saidiya V.,Hartman,Feminism | Black Studies,1997,Digitized
A Feminist Philosophy of Religion,Print,LIBRARY_SCAN,FALSE,25,Pamela Sue,Anderson,Feminism,1998,Digitized
Female Masculinity,Ebook,DUKE_UP,FALSE,26,Jack,Halberstam,Feminism,1998,Born Digital
"""Transgender Studies: Queer Theory's Evil Twin""",Article,ARTICLE,FALSE,27,Susan,Stryker,Feminism,2004,Born Digital
On Intersectionality: Essential Writings,Print,DESTRUCTIVE_SCAN,FALSE,28,Kimberlé Williams,Crenshaw,Feminism,2014,Digitized
"""A Phenomenology of Hesitation""",Article,ARTICLE,FALSE,29,Alia,Al-Saji,Feminism,2014,Born Digital
Trans*: A Quick and Quirky Account of Gender Variability,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,30,Jack,Halberstam,Feminism,2018,Born Digital
A Literature of Their Own,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,31,Elaine,Showalter,Feminism,1977,Born Digital
Sexual/Textual Politics,Print,LIBRARY_SCAN,FALSE,32,Toril,Moi,Feminism,1985,Digitized
"""Replacing Feminist Criticism""",Article,ARTICLE,FALSE,33,Peggy,Kamuf,Feminism,1982,Born Digital
"""The Text's Heroine: A Feminist Critic and Her Fictions""",Article,ARTICLE,FALSE,34,Nancy K.,Miller,Feminism,1982,Born Digital
About Chinese Women,Print,LIBRARY_SCAN,FALSE,35,Julia,Kristeva,Feminism,1974,Digitized
"""French Feminism in an International Frame""",Article,ARTICLE,FALSE,36,Gayatri Chakravorty,Spivak,Feminism,1981,Born Digital
The Newly Born Woman,Print,DESTRUCTIVE_SCAN,DIGI-SENT,37,Helene,Cixous,Feminism,1975,Digitized
"""Is There a Woman in This Text?""",Article,ARTICLE,FALSE,38,Mary,Jacobus,Feminism,1982,Born Digital
"""Male Feminism""",Article,ARTICLE,FALSE,39,Stephen,Heath,Feminism,1987,Born Digital
The New Feminist Criticism,Print,LIBRARY_SCAN,FALSE,40,Elaine,,Feminism,1985,Digitized
What Does a Woman Want? Reading and Sexual Difference,Print,LIBRARY_SCAN,FALSE,41,Shoshana,Felman,Feminism,1993,Digitized
