article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
ADHO2013	Alliance of Digital Humanities Organizations (ADHO)	2013	Global Outlook:DH (GO:DH)				0
AO2012	annotation-ontology	2012	project website				0
AgnostiAndFerro2007	Agnosti, Maristella | Ferro, Nicola	2007	A Formal Model of Annotations of Digital Content.	ACM Transactions on Information Systems			0
aalbersberg2012	Aalbersberg, J. | Heeman, F. | Koers, H. | Zudilova-Seinstra, E.	2012	Elsevier’s Article of the Future: enhancing the user experience and integrating data through applications	Insights			0
aarseth1997	Aarseth, Espen J.	1997	Cybertext: Perspectives on Ergodic Literature				0
aarseth1997b	Aarseth, Espen	1997	The Field of Humanistic Informatics and its Relation to the Humanities	Human IT			0
aarseth2000	Aarseth, Espen	2000	Allegories of Space: The Question of Spatiality in Computer Games	Cybertext Yearbook 2000			0
aarseth2001	Aarseth, Espen	2001	Game Studies, Year One	Game Studies			0
aarseth2003	Aarseth, Epsen	2003	We All Want to Change the World: The Ideology of Innovation in Digital Media,	Digital Media Revisited: Theoretical and Conceptual Innovation in Digital Domains			0
aarseth2004	Aarseth, Espen	2004	Genre Trouble: Narrativism and the Art of Simulation	First Person: New Media as Story, Performance, and Game			0
aarseth2004a	Aarseth, E.	2004	Genre Trouble.	Electronic Book Review			0
aarseth361	Aarseth, Espen	--possible bad date--	Quest Games as Post-Narrative Discourse	Narrative Across Media: The Languages of Storytelling			0
abbott1986	Abbott, Lawrence L.	1986	Comic Art: Characteristics and Potentialities of a Narrative Medium.	Journal of Popular Culture			0
abbott2008	Abbott, D. | Jones, S. | Ross, S.	2008	Curating Digital Records of Performance.	CIDOC			0
abbott2009	Abbott, Craig S. | Williams, William Proctor	2009	Introduction to Bibliographical and Textual Studies				0
abdoh1979	Abdoh, D.	1979	Pupils Weakness in Written Arabic Texts	Symposium of Arabic Language Problem at University Levels			0
abeille2001	Abeillé, Anne | Rambow, Owen	2001	Tree Adjoining Grammars: Formalisms, linguistic analysis and processing				0
aberdeen1995	Aberdeen, John	1995	MITRE: Description of the ALEMBIC system used for MUC-6	Proceedings of the Sixth Message Understanding Conference			0
abney1996	Abney, Steven	1996	Statistical methods and linguistics	The balancing act: Combining symbolic and statistical approaches to language			0
abney2000	Abney, Steven | Collins, M. | Singhal, A.	2000	Answer Extraction	Proceedings of the Applied Natural Language Processing Conference (ANLP)			0
abraham2002	Abraham, Tara	2002	(Physio)logical Circuits: The Intellectual Origins of the McCulloch-Pitts Neural Networks.	Journal of the History of the Behavioral Sciences			0
abrams1953	Abrams, M.H.	1953	The Mirror and the Lamp				0
abrams1971	Abrams, M.H.	1971	Natural Supernaturalism: Tradition and Revolution in Romantic Literature				0
abrilian2005	Abrilian, Sarkis | Devillers, Laurence | Buisine, Stephanie | Martin, Jean-Claude	2005	EmoTV1: Annotation of real-life emotions for the specification of multimodal affective interfaces	Proceedings of the 11th International Conference on Human-Computer Interaction			0
abu1999	Abu-Salem, Hani | Al-Omari, Mahmoud | Evens, Martha	1999	Stemming Methodologies over Individual Query	Journal of the American Society for Information Systems			0
abuleil2002a	Abuleil, Saleem | Alsamara, Khalid | Evans, Martha	2002	Tagging Proper Nouns and Keywords to Classify Arabic Newspaper Text	Proceedings of the 13th Midwest Artiﬁcial Intelligence and Cognitive Science Conference			0
abuleil2002b	Abuleil, Saleem | Evens, Martha	2002	Extracting an Arabic Lexicon from Arabic Newspaper Text	Computers and the Humanities			0
academia2001	Real Academia Española	2001	Diccionario de la Lengua Española				0
aceti2005	Aceti, Lafranco	2005	European Avant-Garde: Art, Borders and Culture in Relationship to Mainstream Cinema and New Media	University of the Arts London			0
achaleke2011	Achaleke, B. | Harwood, G. | Koblin, A. | Yan, L. | Peixoto, T.	2011	Guinea Pigs and Apples: Statement of the Digital Communities Jury.	Prix Ars Electronica International Compendium: CyberArts 2011			0
achinstein1988	Achinstein, Peter	1988	The illocutionary theory of explanation	Theories of explanation			0
achtenberg1974	Achtenberg, Emily | Stone, Michael	1974	Tenants First! A Research and Organizing Guide to FHA Housing				0
aciman2009	Aciman, Alexander | Rensin, Emmett	2009	Twitterature: The World’s Greatest Books Retold Through Twitter				0
adair1944	Adair, Douglass	1944	The Authorship of the Disputed Federalist Papers (2 Parts)	William and Mary Quarterly			0
adamo1994	Adamo, Giovanni	1994	Bibliografia di informatica umanistica	Informatica e discipline umanistiche, Vol. 5			0
adams1995	Adams, John	1995	Risk				0
adams2003	Adams, Melissa	2003	Fembot Collective				0
adams2007a	Adams, Rick	2001	Magic word XYZZY				0
adams2007b	Adams, Rick	2001	The Real Colossal Cave				0
adams2007c	Adams, Rick	2001	A History of 'Adventure'	The Colossal Cave Adventure Page			0
adamson1974	Adamson, George W. | Boreham, Jillian	1974	The Use of an Association Measure Based on Character Structure to Identify Semantically Related Pairs of Words and Document Titles	Information Storage and Retrieval			0
adda1998	Adda, Gilles | Mariani, Joseph | Lecomte, Josette | Paroubek, Patrick | Rajman, Martin	1998	The GRACE French Part-Of-Speech Tagging Evaluation Task	1st International Conference on Language Resources and Evaluation			0
addison1694	Addison, Joseph	1694	Virgil’s Fourth Georgic				0
adhikan2010	Adhikan, Richard	2010	Stuxnet: Dissecting the Worm,				0
adho	Alliance of Digital Humanities Organizations	2011	About	Alliance of Digital Humanities Organizations			0
adho2011	Alliance of Digital Humanities Organizations	2011	Preconference, Conference and Post-Conference Schedule.	Digital Humanities 2011			0
adler1938	Adler, Ada	1928	Suidae Lexicon				0
adler2006	Adler, Meni | Elhadad, Michael	2006	An unsupervised Morpheme-based HMM for Hebrew morphological disambiguation	Proceedings of the 21st international conference on computational linguistics and 44th annual meeting of the association for computational linguistics			0
adolphson1998	Adolphson, Eric	1998	Writing Instruction and Controlled Language Applications: Panel Discussion on Standardization	. Proceedings of Controlled Language Applications Workshop, CLAW’98			0
adorno1974	Adorno, T.	1974	Minima Moralia: Reflections from a Damaged Life				0
adorno1992	Adorno, Theodor	1992	Commitment.	Notes to Literature, Volume 2.			0
adorno1997	Adorno, Theodor	1997	Aesthetic Theory				0
adoum1946	Adoum, Jorge Enrique	1946	Nicolás Guillén en la Pampa Salitrera	El Siglo			0
aduriz1996	Aduriz, Itziar | Aldezabal, Izaskun | Artola, Xabier | Ezeiza, Nerea | Urizar, Rubin	1996	MultiWord Lexical Units in EUSLEM, a Lemmatiser-Tagger for Basque	Papers in Computational Lexicography COMPLEX’96			0
aeri2009	Archival Education and Research Institute (AERI)	2009	Building the Future of Archival Education and Research				0
afflerbach1990	Afflerbach, Peter P.	1990	The Influence of Prior Knowledge on Expert Readers' Main Idea Construction Strategies	Reading Research Quarterly			0
agamben2007	Agamben, Giorgio	2007	Infancy and History: On the Destruction of Experience				0
agirre2000a	Agirre, Eneko | Ansa, Olatz | Hovy, Eduard | Martinez, David	2000	Enriching very large ontologies using the WWW	Proceedings of the Workshop on Ontology Construction of the European Conference of AI			0
agirre2000b	Agirre, Eneko | Ansa, Olatz | Artola, Xabier | Arregi, Xabier | Diaz de Ilarraza, Arantza | Lersundi, Mikel | Martinez, David | Sarasola, Kepa | Urizar, Rubin	2000	Extraction of semantic relations from a Basque monolingual dictionary using Constraint Grammar	Proceedings of the 9th EURALEX international conference			0
agirre2001	Agirre, Eneko | Martinez, David	2001	Knowledge Sources for Word Sense Disambiguation	International Conference on Text, Speech and Dialogue			0
agirrre1996	Agirrre, Eneko | Rigau, German	1996	Word sense disambiguation using conceptual density	Proceedings of the 16th conference on computational linguistics			0
agostiyyy_roa	Agosti, Maristella	n.d.	Roadmap for Multilingual Information Access in the European Library	Research and Advanced Technology for Digital Libraries			0
agresti2002	Agresti, Alan	2002	Categorical Data Analysis				0
aguado2009	Aguando, Juan Miguel	2009	Self-observation, self-reference and operational coupling in social systems: Steps towards a coherent epistemology of mass media.	Empedocles: European Journal for the Philosphy of Communication.			0
aguiar1985	Aguiar, Fernando | Pestana, Silvestre	1985	Poemografias: Perspectivas da Poesia Visual Portuguesa				0
aguirre1959	Aquirre, Mirta	1959	Pólvora en Salvas	Hoy Domingo Magazine			0
ahn2006	Ahn, Luis von	2006	Games With a Purpose	Computer			0
ahonen1995	Ahonen-myka, Helena	1995	Automatic Generation of SGML Content Models	Electronic Publishing			0
ahrc2006	Arts and Humanities Research Council (AHRC),	2006	AHRC ICT Methods Network Workgroup on Digital Tools Development for the Arts and Humanities				0
ahrenberg2000	Ahrenberg, Lars | Andersson, Mikael | Merkel, Magnus	2000	A Knowledge-lite Approach to Word Alignment	Parallel Text Processing			0
ahsen1984	Ahsen, Akhter	1984	ISM: The triple code model for imagery and psychopysiology	Journal of Mental Imagery			0
aikenhenvald2004	Aikenhenvald, Alexandra	2004	Evidentiality				0
ainsworth2009	Ainsworth, Peter	2009	e-Science for Medievalists: Options, Challenges, Solutions and Opportunities	Digital Humanities Quarterly			1
ainsworth2010	Ainsworth, Peter	2010	Editing, E-Science and Exhibitions	Essays in Later Medieval French Literature: The Legacy of Jane H.M. Taylor			0
aitchison2003	Aitchison, Jean	2003	Words in the Mind: An Introduction to the Mental Lexicon				0
akrich1992	Akrich, Madeleine	1992	The De-Scription of Technical Objects	Shaping Technology/Building Society: Studies in Sociotechnical Change			0
akyol2001	Akyol, Suat | Libuda, Lars | Kraiss, Karl-Friedrich	2001	Multimodale Benutzung adaptiver Kfz-Bordsysteme	Kraftfahrzeugführung			0
al1994	Al-Kharashi, Ibrahim A. | Evens, Martha W.	1994	Words, Stems, and Roots in an Arabic Information Retrieval System	Journal of the American Society for Information Systems			0
al1998	Al-Halimi, Reem | Kazman, Rick	1998	Temporal indexing through lexical chaining	WordNet: An Electronic Lexical Database			0
aland1986	Aland, Barbara | Juckel, Andreas	1986	Das Neue Testament in syrischer Ueberlieferung. Bd. I: Die grossen Katholischen Briefe				0
aland1989	Aland, Kurt | Aland, Barbara	1989	The Text of the New Testament.				0
aland1997a	Aland, Barbara | Aland, Kurt | Mink, Gerd | Wachtel, Klaus	1997	Novum Testamentum Graecum Editio Critica Maior. IV. Catholic Letters. Part 1. Text. Installment 1. James.				0
aland1997b	Aland, Barbara | Aland, Kurt | Mink, Gerd | Wachtel, Klaus	1997	Novum Testamentum Graecum Editio Critica Maior. IV. Catholic Letters. Part 2. Supplementary Material. Installment 1. James.				0
aland2005	Aland, Kurt	2005	Synopsis quattuor evangeliorum: locis parellelis evangeliorum apocryphorum et patrum adhibitis				0
alani2003	Alani, Harith | Kim, Sanghee | Millard, David E. | Weal, Mark J. | Hall, Wendy | Lewis, Paul H. | Shadbolt, Nigel R.	2003	Automatic ontology-based knowledge extraction from web documents	IEEE Intelligent Systems			0
alcock1994	Alcock, S. | Osborne, R.	1994	Placing the Gods: Sanctuaries and Sacred Space in Ancient Greece				0
alcorn2002	Alcorn Jr., M.W.	2002	Changing the Subject in English Class: Discourse and the Constructions of Desire				0
aldama2009	Aldama, Frederick Luis	2009	Your Brain on Latino Comics: From Gus Arriola to Los Bros Hernandez				0
alderman1978	Alderman, Donald L. | Lola, Rhea A. | Murray, Richard T.	1978	PLATO and TICCIT: An Evaluation of CAI in the Community College	Educational Technology			0
alegria1954	Alegria, Ciro	1954	Entrevista con Salvador Bueno	Carteles			0
alemneh2002	Alemneh	2002	A Metadata Approach to Preservation of Digital Resources: The University of North Texas Libraries’ Experience	First Monday 7.8			0
alessio1978	Alessio Robles, Vito	1978	Coahuila y Texas en la época colonial				0
alexander2002	Alexander, Jonathan	2002	Digital Spins: The Pedagogy and Politics of Student-centered E-zines	Computers and composition			0
alexander2003	Alexander, P.A.	2003	Expertise and Academic Development: A New Perspective on a Classic Theme	Keynote Address to the Biennial Meeting of the European Association for the Research on Learning and Instruction			0
alexander2006	Alexander, Bryan	2006	Web 2.0: A New Wave of Innovation for Teaching and Learning?	Educause Review			0
alfaro1946	Latcham Alfaro, Ricardo	1946	Nicolás Guillén	La Nación			0
aliprand2003	Aliprand, Joan	2003	The unicode standard (Version 4.0)				0
allan1977	Allan, Keith	1977	Classifiers	Language			0
allan2001	Allan, Keith	2001	Natural language semantics				0
allen1889a	Allen, Thomas W.	1889	Notes upon Greek Manuscripts in Italian Libraries	The Classical Review			0
allen1889b	Allen, Thomas W.	1889	Notes on Greek Mss. in Italian Libraries	The Classical Review			0
allen1889c	Allen, Thomas W.	1889	Notes on Greek MSS. in Italian Libraries (Continued)	The Classical Review			0
allen1890a	Allen, Thomas W.	1890	Notes on Greek MSS. in Italian Libraries (Continued)	The Classical Review			0
allen1890b	Allen, Thomas W.	1890	Manuscripts of the Iliad in Rome	The Classical Review			0
allen1896	Allen, Thomas W.	1896	Recent Italian Catalogues of Greek MSS	The Classical Review			0
allen1899	Allen, Thomas W.	1899	Aristarchus and the Modern Vulgate of Homer	The Classical Review			0
allen1900	Allen, Thomas W.	1900	New Homeric Papyri	The Classical Review			0
allen1902	Allen, Thomas W.	1902	Characteristics of the Homeric Vulgate	The Classical Review			0
