DHQ Genres		Zotero Item Types
ArchivalItem	Manuscript
Artwork			Artwork
BlogEntry		Blog Post, Podcast
Book			Book
BookInSeries	Book
BookSection		Book Section
ConferencePaper	Conference Paper
JournalArticle	Journal Article, Magazine Article
Other			Document
PhysicalMedia	??
Posting			Forum Post
PublicGov		Bill?
Report			Report
Series			??
Thesis			Thesis
VideoGame		??
WebSite			Webpage



Zotero Item Types			DHQ Genres
Artwork 					Artwork
Audio Recording 			[AudiovisualItem?]
Bill 						PublicGov
Blog Post 					Blog Post
Book 						Book
Book Section 				BookSection
Case 						PublicGov
Conference Paper 			ConferencePaper
Dictionary Entry 			[Reference?]
Document 					Other
Email 						[this would be a private/non-biblio citation]
Encyclopedia Article 		[Reference?]	
Film 						[AudiovisualItem?]
Forum Post 					Posting
Hearing 					PublicGov
Instant Message 			[this would be a private/non-biblio citation]
Interview 					[this would be a private/non-biblio citation]
Journal Article 			JournalArticle
Letter 						[this would be a private/non-biblio citation]
Magazine Article 			JournalArticle
Manuscript 					ArchivalItem
Map 						[??]
Newspaper Article 			JournalArticle
Patent 						PublicGov
Podcast 					Webpage
Presentation 				ConferencePaper
Radio Broadcast 			AudiovisualItem
Report 						Report
Software 					[Software?]
Statute 					PublicGov
Thesis 						Thesis
TV Broadcast 				AudiovisualItem
Video Recording 			AudiovisualItem
Webpage 					WebSite
