Article ID	Pub. Year	Authors	Affiliations	Title	Recommendation 1	Recommendation 2	Recommendation 3	Recommendation 4	Recommendation 5	Recommendation 6	Recommendation 7	Recommendation 8	Recommendation 9	Recommendation 10	url
000001	2007	Johanna Drucker	University of Virginia	Philosophy and Digital Humanities: A review of Willard McCarty, Humanities Computing (London and NY: Palgrave, 2005)	000186	000065	000055	000254	000172	000080	000112	000195	000133	000119	https://digitalhumanities.org/dhq/vol/1/1/000001/000001.html
000002	2007	Jeff Howard	University of Texas, Austin	Interpretative Quests in Theory and Pedagogy	000101	000066	000098	000339	000139	000009	000103	000599	000092	000122	https://digitalhumanities.org/dhq/vol/1/1/000002/000002.html
000003	2007	Drew VandeCreek	Northern Illinois University Libraries	"Webs of Significance": The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History	000035	000280	000053	000303	000155	000657	000023	000043	000715	000463	https://digitalhumanities.org/dhq/vol/1/1/000003/000003.html
000004	2007	Linda E. Patrik	Department of Philosophy, Union College	Encoding for Endangered Tibetan Texts	000652	000084	000116	000594	000415	000035	000152	000201	000724	000699	https://digitalhumanities.org/dhq/vol/1/1/000004/000004.html
000005	2007	Mark Wolff	Hartwick College	Reading Potential: The Oulipo and the Meaning of Algorithms	000325	000734	000364	000349	000365	000357	000354	000359	000363	000362	https://digitalhumanities.org/dhq/vol/1/1/000005/000005.html
000006	2007	Joseph Raben	Queens College, City University of New York	Tenure, Promotion and Digital Publication	000083	000322	000086	000302	000080	000174	000344	000531	000643	000596	https://digitalhumanities.org/dhq/vol/1/1/000006/000006.html
000007	2007	Julia Flanders | Wendell Piez | Melissa Terras	Brown University | Mulberry Technologies, Inc. | University College London	Welcome to Digital Humanities Quarterly	000065	000643	000080	000112	000509	000221	000210	000413	000302	000394	https://digitalhumanities.org/dhq/vol/1/1/000007/000007.html
000008	2007	Joseph Raben	Queens College, City University of New York	Introducing Issues in Humanities Computing	000201	000321	000741	000456	000468	000380	000023	000112	000114	000696	https://digitalhumanities.org/dhq/vol/1/1/000008/000008.html
000009	2007	Dennis G. Jerz	Seton Hill University	Somewhere Nearby is Colossal Cave: Examining Will Crowther's Original "Adventure" in Code and in Kentucky	000129	000101	000010	000089	000122	000013	000696	000098	000017	000713	https://digitalhumanities.org/dhq/vol/1/2/000009/000009.html
000010	2007	Eric Eve	Harris Manchester College, University of Oxford	All Hope Abandon: Biblical Text and Interactive Fiction	000009	000101	000089	000128	000693	000501	000153	000129	000046	000533	https://digitalhumanities.org/dhq/vol/1/2/000010/000010.html
000011	2007	Steve F. Anderson	University of Southern California	Aporias of the Digital Avant-Garde	000386	000382	000124	000099	000109	000495	000108	000718	000151	000238	https://digitalhumanities.org/dhq/vol/1/2/000011/000011.html
000012	2007	David Hoover	New York University	The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory	000188	000144	000599	000203	000069	000043	000154	000271	000095	000317	https://digitalhumanities.org/dhq/vol/1/2/000012/000012.html
000013	2007	Melissa Terras	University College London	DHQ in the Public Eye	000009	000101	000129	000010	000122	000017	000089	000696	000098	000713	https://digitalhumanities.org/dhq/vol/1/2/000013/000013.html
000014	2007	Ernesto Priani Saisó	Universidad Nacional Autónoma de México	Revista Digital Universitaria: A Workshop of Digital Editing at the Universidad Nacional Autónoma de México	000054	000144	000145	000292	000469	000180	000232	000104	000619	000209	https://digitalhumanities.org/dhq/vol/1/2/000014/000014.html
000015	2008	Belinda Barnet	Swinburne University of Technology, Melbourne	The Technical Evolution of Vannevar Bush’s Memex	000081	000105	000560	000096	000601	000186	000629	000011	000126	000128	https://digitalhumanities.org/dhq/vol/2/1/000015/000015.html
000016	2008	Richard Cunningham | David Duke | John Eustace | Anna Galway | Erin Patterson	Acadia University | Acadia University | Acadia University |  | Acadia University	The Humanities HyperMedia Centre @ Acadia University: An Invitation to Think About Higher Education	000302	000322	000201	000080	000471	000035	000411	000443	000470	000463	https://digitalhumanities.org/dhq/vol/2/1/000016/000016.html
000017	2008	Mark C. Marino	University of Southern California	Review: The Electronic Literature Collection Volume I: A New Media Primer	000194	000046	000087	000151	000314	000222	000113	000128	000713	000175	https://digitalhumanities.org/dhq/vol/2/1/000017/000017.html
000018	2008	Patricia Tomaszek	Siegen University	Conference Review: Reading Digital Literature at Brown University, October 4-7, 2007.	000113	000099	000314	000162	000087	000103	000161	000192	000154	000207	https://digitalhumanities.org/dhq/vol/2/1/000018/000018.html
000019	2008	Gerhard Jan Nauta	Leiden University	As You Can See: Applying Visual Collaborative Filtering to Works of Art	000120	000182	000031	000327	000116	000380	000238	000391	000294	000339	https://digitalhumanities.org/dhq/vol/2/1/000019/000019.html
