Article ID	Pub. Year	Authors	Affiliations	Title	Recommendation 1	Recommendation 2	Recommendation 3	Recommendation 4	Recommendation 5	Recommendation 6	Recommendation 7	Recommendation 8	Recommendation 9	Recommendation 10	url
000001	2007	Johanna Drucker	University of Virginia	Philosophy and Digital Humanities: A review of Willard McCarty, Humanities Computing (London and NY: Palgrave, 2005)	000424	000547	000034	000729	000421	000002	000249	000122	000705	000730	https://digitalhumanities.org/dhq/vol/1/1/000001/000001.html
000002	2007	Jeff Howard	University of Texas, Austin	Interpretative Quests in Theory and Pedagogy	000601	000564	000298	000165	000510	000034	000424	000274	000595	000127	https://digitalhumanities.org/dhq/vol/1/1/000002/000002.html
000003	2007	Drew VandeCreek	Northern Illinois University Libraries	Webs of Significance: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History	000168	000539	000707	000501	000107	000388	000595	000443	000204	000708	https://digitalhumanities.org/dhq/vol/1/1/000003/000003.html
000004	2007	Linda E. Patrik	Department of Philosophy, Union College	Encoding for Endangered Tibetan Texts	000149	000501	000549	000331	000317	000098	000600	000609	000146	000157	https://digitalhumanities.org/dhq/vol/1/1/000004/000004.html
000005	2007	Mark Wolff	Hartwick College	Reading Potential: The Oulipo and the Meaning of Algorithms	000089	000031	000483	000574	000142	000631	000387	000025	000117	000564	https://digitalhumanities.org/dhq/vol/1/1/000005/000005.html
000006	2007	Joseph Raben	Queens College, City University of New York	Tenure, Promotion and Digital Publication	000240	000245	000590	000321	000709	000600	000388	000081	000275	000140	https://digitalhumanities.org/dhq/vol/1/1/000006/000006.html
000007	2007	Julia Flanders | Wendell Piez | Melissa Terras	Brown University | Mulberry Technologies, Inc. | University College London	Welcome to Digital Humanities Quarterly	000703	000647	000310	000388	000514	000654	000343	000625	000688	000421	https://digitalhumanities.org/dhq/vol/1/1/000007/000007.html
000008	2007	Joseph Raben	Queens College, City University of New York	Introducing Issues in Humanities Computing	000038	000674	000654	000388	000213	000259	000421	000692	000281	000393	https://digitalhumanities.org/dhq/vol/1/1/000008/000008.html
000009	2007	Dennis G. Jerz	Seton Hill University	Somewhere Nearby is Colossal Cave: Examining Will Crowther's Original Adventure in Code and in Kentucky	000463	000075	000212	000626	000507	000078	000388	000048	000579	000589	https://digitalhumanities.org/dhq/vol/1/2/000009/000009.html
000010	2007	Eric Eve	Harris Manchester College, University of Oxford	All Hope Abandon: Biblical Text and Interactive Fiction	000139	000120	000510	000424	000034	000436	000574	000729	000438	000496	https://digitalhumanities.org/dhq/vol/1/2/000010/000010.html
000011	2007	Steve F. Anderson	University of Southern California	Aporias of the Digital Avant-Garde	000582	000204	000526	000220	000434	000596	000060	000252	000628	000214	https://digitalhumanities.org/dhq/vol/1/2/000011/000011.html
000012	2007	David Hoover	New York University	The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory	000282	000100	000230	000447	000455	000552	000204	000556	000667	000065	https://digitalhumanities.org/dhq/vol/1/2/000012/000012.html
000013	2007	Melissa Terras	University College London	DHQ in the Public Eye	000682	000579	000724	000432	000173	000157	000303	000294	000319	000075	https://digitalhumanities.org/dhq/vol/1/2/000013/000013.html
000014	2007	Ernesto Priani Saisó	Universidad Nacional Autónoma de México	Revista Digital Universitaria: A Workshop of Digital Editing at the Universidad Nacional Autónoma de México	000675	000557	000426	000439	000217	000114	000428	000169	000168	000621	https://digitalhumanities.org/dhq/vol/1/2/000014/000014.html
000015	2008	Belinda Barnet	Swinburne University of Technology, Melbourne	The Technical Evolution of Vannevar Bush’s Memex	000249	000127	000493	000625	000424	000034	000105	000162	000529	000707	https://digitalhumanities.org/dhq/vol/2/1/000015/000015.html
