article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
1	"Drucker, Johanna"	2007	"Philosophy and Digital Humanities: A review of Willard McCarty, Humanities Computing (London and NY: Palgrave, 2005)"	Digital Humanities Quarterly	A review of Willard McCarty's Humanities Computing.	hockey2000 | mcgann2001a | sutherland1997 | schreibman2004	1
2	"Howard, Jeff"	2007	Interpretative Quests in Theory and Pedagogy	Digital Humanities Quarterly	"In this paper, I extend theoretical understandings of the gaming activity and literary form called the â€œquestâ€ù and its relationship to issues of interpretation, focusing primarily on game theory with concrete examples as well as some broadly applicable pedagogical uses of these ideas in literature classrooms. The argument contributes to a recent theoretical and practical discussion of â€œquestsâ€ù by scholars of games studies such as Aarseth 2004, Juul 2005, Tosca 2003, and Tronstad 2001. I build upon and revise these theoristsâ€™ understandings by approaching a â€œquestâ€ù as a goal-oriented activity in which players undertake a journey in search of meaning. By demonstrating similarities between the literary traditions in which quests are central and the practice of digital game design, I argue that quests can be better understood theoretically and more productively used in the classroom if meaning and action are regarded as complementary design principles instead of conflicting impulses. A revised understanding of quests can help to mediate between games and narratives by showing strategies by which game designers have created meaningful action, often in ways that are either unconsciously similar to or inspired by the literary traditions of mythology, epic, and romance. Specifically, game designers can use level design to create labyrinthine spaces that encode thematic implications, in the tradition of literary allegory. If these symbolic spaces are coordinated with significant obstacles and challenges, the apparent conflict between meaning and action can be resolved through engaging gameplay that allows players to enact a range of thematic ideas, contributing to the ongoing replay value of a digital game. I also suggest ways in which this understanding of quests can allow literature teachers to plan assignments where students transform literary narratives into interpretative quests taking the form of digital games. As a paradigmatic example, I describe one such assignment, in which my students adapted episodes from Pynchonâ€™s The Crying of Lot 49 into design documents and prototypes, and I suggest some theoretical implications of its results for other instructors. By adapting works of literature into quests, students learn to discover and create meaning through the active exertion of cognitive and imaginative effort rather than absorbing it passively."	aarseth1997 | aarseth2000 | aarseth2004 | alonzo2006 | bateman2005 | bolter1999 | campbell1949 | cowart1977 | davis1998 | elder2006 | erickson1996 | eskelinen2004 | fable2005 | frasca2003 | frye1957 | kelly2004 | gee2004 | kucklich2996 | glassner2004 | jenkins2004 | juul2005 | king2003 | kimbrell2006 | losh2006 | mendelson1978 | montfort2003 | neugebauer2006 | natkin2006 | novak2005 | propp1968 | pynchon1964 | rollings2003 | ryan2001 | salen2004 | szulborski2005 | tosca2003 | tronstad2001 | ulmer2002 | vogler1998 | zimmerman2004	1
3	"VandeCreek, Drew"	2007	"Webs of Significance: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History"	Digital Humanities Quarterly	"Lincoln/Net (http://lincoln.lib.niu.edu), a product of the Abraham Lincoln Historical Digitization Project at Northern Illinois University Libraries, represents a new type of historically oriented digital library resource. Like many other digital libraries, it contains a large amount of searchable primary source materials. Like a number of other historically oriented online resources, project staff have organized Lincoln/Net around a specific topic, in this case Abraham Lincolnâ€™s life and times in antebellum Illinois. In addition to Lincolnâ€™s own papers, the projectâ€™s databases contain resources shedding light on his context, including letters, diaries, and publications prepared by his peers. Unlike most historically oriented digital libraries however, the project Web site also includes a wealth of multimedia materials, including image, sound, video, and interactive map resources. But Lincoln/Net is perhaps most unique in that it furnishes its users with an extensive set of interpretive materials. This approach suggests that historians may play an expanding role in the development of digital libraries. It can also provide them with a badly-needed means of communicating with an audience beyond their own scholarly community and students. This communication can facilitate what one digital history pioneer has described as the â€œdemocratization of history,â€ù as defined by an expanded user group enjoying primary source materials and using them to engage in historical thinking ."	about2006 | about2006a | ayers1999 | bates2003 | bass1999 | becker1932 | bender1986 | bender1994 | borgman2000 | britton1997 | brown2001 | cobb1997 | cole1994 | cox1997 | delaney1999 | friedman2005 | geertz1973 | ghapery2004 | green2001 | greenberg1998 | haskell1977 | haskell1984 | hay1894 | haywood1998 | hinton1860 | historynet2006 | hunt1997 | jessop2004 | karamanski1990 | kelley1978 | kornblith2001 | mabry | meulen2003 | minkel2003 | murray1997 | novick1988 | oed2006 | plewe1997 | public2006 | rosenzweig2003 | shiroma2000 | tenopir2004 | songster1850 | thomas1999 | west2003 | woods1995 | zhao2004	1
4	"Patrik, Linda E."	2007	Encoding for Endangered Tibetan Texts	Digital Humanities Quarterly	"For over a thousand years, Tibet has preserved and translated ancient Buddhist Sutras from India, keeping the tradition of Buddhist philosophy and meditation alive long after it died out in India by the 12th Century. Recent efforts to digitize materials from this textual tradition offer opportunities to broaden the circulation of rare materials to the exiled Tibetan scholarly community, but also suggest conceptual challenges arising from the complexity of the texts and their inherently multimodal character. This paper describes the scholarly and meditative traditions from which these texts come, and discusses possible approaches to their digitization."	anderson2003 | bia2003 | chilton2006 | dreyfus2003 | dutt1962 | hayles2002 | marvet2006 | muller1894 | rahtz2005	1
5	"Wolff, Mark"	2007	Reading Potential: The Oulipo and the Meaning of Algorithms	Digital Humanities Quarterly	"Recent efforts to reconceptualize text analysis with computers in order to broaden the appeal of humanities computing have invoked the example of the Oulipo. Although there are similarities between the activities of the Oulipo and the new approach to computer-assisted literary analysis, the development of tools for the express purpose of encouraging scholars to play with texts does not follow the model of Oulipian research into potentialities. For the Oulipo, potential text analysis is less a question of interpreting literature than of supplying algorithms for the good use one can make of reading. Producing exemplary interpretations with algorithms is a secondary consideration. Oulipian constraints are better understood as toys with no intended purpose rather than as tools we use with some objective in mind. The procedures for making sense of texts provide for their own interpretation: they are not only instruments for discovering meaning but also reflections on making meaning."	benabou1987 | bens1980 | bergens1999 | braffort2006 | braffort1984 | khmelev2001 | mcgann2001a | oulipo1998 | motte1986 | olsen1993 | oulipo1988 | queneau1961 | queneau1964 | queneau1965 | ramsay2003 | reggiani1999 | rockwell2003 | schmid2006 | sinclair2003b | starynkevitch1990	1
6	"Raben, Joseph"	2007	"Tenure, Promotion and Digital Publication"	Digital Humanities Quarterly			1
7	"Flanders, Julia | Piez, Wendell | Terras, Melissa"	2007	Welcome to Digital Humanities Quarterly	Digital Humanities Quarterly	"A welcome to DHQ from the editors, with a brief summary of the journal's development and goals."		1
8	"Raben, Joseph"	2007	Introducing Issues in Humanities Computing	Digital Humanities Quarterly			1
9	"Jerz, Dennis G."	2007	Somewhere Nearby is Colossal Cave: Examining Will Crowther's Original Adventure in Code and in Kentucky	Digital Humanities Quarterly	"Because so little primary historical work has been done on the classic text computer game Colossal Cave Adventure, academic and popular references to it frequently perpetuate inaccuracies. Adventure was the first in a series of text-based games (interactive fiction) that emphasize exploring, puzzles, and story, typically in a fantasy setting; these games had a significant cultural impact in the late 1970s and a significant commercial presence in the early 1980s. Will Crowther based his program on a real cave in Kentucky; Don Woods expanded this version significantly. The expanded work has been examined as an occasion for narrative encounters and as an aesthetic masterpiece of logic and utility ; however, previous attempts to assess the significance of Adventure remain incomplete without access to Crowther's original source code and Crowther's original source cave. Accordingly, this paper analyzes previously unpublished files recovered from a backup of Woods's student account at Stanford, and documents an excursion to the real Colossal Cave in Kentucky in 2005. In addition, new interviews with Crowther, Woods, and their associates (particularly members of Crowther's family) provide new insights on the precise nature of Woods's significant contributions. Real locations in the cave and several artifacts (such as an iron rod and an axe head) correspond to their representation in Crowther's version; however, by May of 1977, Woods had expanded the game to include numerous locations that he invented, along with significant technical innovations (such as scorekeeping and a player inventory). Sources that incorrectly date Crowther's original to 1972 or 1974, or that identify it as a cartographic data file with no game or fantasy elements, are sourced thinly if at all. The new evidence establishes that Crowther wrote the game during the 1975-76 academic year and probably abandoned it in early 1976. The original game employed magic, humor, simple combat, and basic puzzles, all of which Woods greatly expanded. While Crowther remained largely faithful to the geography of the real cave, his original did introduce subtle changes to the environment in order to improve the gameplay."	aarseth1997 | aarseth2001 | adams2007c | adams2007a | adams2007b | anderson1985 | anderson1990 | au2000 | au2002 | bennahum1998 | bloom2002 | briceno2000 | brucker2005 | brucker1976 | brucker2005a | brucker2005b | buckles1985 | cadre2004 | cahill2001 | carter2002 | chaplin2007 | cordella2001 | costikyan2007 | crowther1976 | crowther2001 | crowther2007 | crowther1975b | crowther1977 | dalenberg2004 | dalenberg2006 | dibbell2002 | douglass2006 | douglass2007 | eskelinen2001 | freeman1975 | gamespy2002 | gilbert2005 | gilbert2007 | gillogly1977 | hafner1994 | hafner1996 | harrington2007 | herz1997 | howell1990 | hutcheon1988 | jerz2000 | jerz2002 | jerz2005 | juul2001 | juul2005 | keller2007 | kidder1981 | kraley2004 | knuth1998 | lawrence2002 | levy1984 | mann2003 | mann2004 | mcgonigal2008 | montfort2003 | murray1997 | nss1994 | nelson2001 | oneill1990 | park1994 | plotkin1995 | poole2000 | raymond1996 | robinett2000 | rothstein2002 | ryan2001b | selfe2007 | schwartz1999 | toomey1990 | turkle1995 | vanvleck2001 | wilcox1990 | wilcox2002 | woods2006 | woods2007	1
10	"Eve, Eric"	2007	All Hope Abandon: Biblical Text and Interactive Fiction	Digital Humanities Quarterly	"Among the alternative kinds of narrative opened up by computer technology, one of earliest is interactive fiction (and specifically the text adventure or adventure game), which first came into being in the 1970s. Text-based interactive fiction enjoyed a brief period of commercial success in the 1980s until it was overtaken by advances in computer graphics, but it continues to be read and written by enthusiastic amateurs. Although interactive fiction clearly has roots in computer gaming, it also has potential as a new form of literature. Since interactive fiction may be a medium unfamiliar to some readers, this article will start by defining it, explaining some of its conventions, and outlining its origins. It will then describe how one recent piece of interactive fiction, All Hope Abandon, explores aspects of Biblical Studies through the medium of IF, and will end by suggesting a number of fruitful links between interactive fiction and biblical text. In the course of the article several examples from All Hope Abandon will be given, and instructions on how to install and play the game will be provided at the end."	anderson2006 | bates1997 | berg2004 | brasslantern2007 | cadre1998 | coyne2003 | crowther1976 | dollahite2005 | donahue2002 | downing2000 | elliott1993 | eve2002 | eve2004 | eve2005 | firth2007 | granade2007 | hooker1991 | jasper2005 | jerz2000b | jerz2000c | jerz2001 | kopteltsev2006 | lee2006b | lott2004 | maher2005 | maher2006 | marcus1993a | marshall1989 | meier1994 | montfort2003 | montfort2003b | morgan2006 | moyise2001 | nelson1997 | nelson2001 | nelson2007b | nelson2007a | nepstad2006a | nepstad2006b | ong2002 | powell2006 | raif2007 | reed2005 | rhoads1982 | roberts2006 | roberts2007a | roberts2007b | roberts2007c | shiovitz2004a | shiovitz2004b | short2007a | short2007b | stevens2001 | vaniersel1998 | vansina1985 | watts2000 | woods2005	1
