article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
actlab	ACTLab	n.d.	Welcome to the ACTLab	ACTLab			0
adho2009	Alliance of Digital Humanities Organizations (ADHO)	2009	Alliance of Digital Humanities Organizations				0
anderson2007b	Anderson, S.	2007	The Arts and Humanities and e-Science: Scoping Survey Report and Findings				0
ADHO2013	Alliance of Digital Humanities Organizations (ADHO)	2013	Global Outlook:DH (GO:DH)				0
AO2012	annotation-ontology	2012	project website				0
AgnostiAndFerro2007	Agnosti, Maristella | Ferro, Nicola	2007	A Formal Model of Annotations of Digital Content.	ACM Transactions on Information Systems			0
aalbersberg2012	Aalbersberg, J. | Heeman, F. | Koers, H. | Zudilova-Seinstra, E.	2012	Elsevier’s Article of the Future: enhancing the user experience and integrating data through applications	Insights			0
aarseth1997	Aarseth, Espen J.	1997	Cybertext: Perspectives on Ergodic Literature				0
aarseth1997b	Aarseth, Espen	1997	The Field of Humanistic Informatics and its Relation to the Humanities	Human IT			0
aarseth2000	Aarseth, Espen	2000	Allegories of Space: The Question of Spatiality in Computer Games	Cybertext Yearbook 2000			0
aarseth2001	Aarseth, Espen	2001	Game Studies, Year One	Game Studies			0
aarseth2003	Aarseth, Epsen	2003	We All Want to Change the World: The Ideology of Innovation in Digital Media,	Digital Media Revisited: Theoretical and Conceptual Innovation in Digital Domains			0
aarseth2004	Aarseth, Espen	2004	Genre Trouble: Narrativism and the Art of Simulation	First Person: New Media as Story, Performance, and Game			0
abbott1986	Abbott, Lawrence L.	1986	Comic Art: Characteristics and Potentialities of a Narrative Medium.	Journal of Popular Culture			0
abbott2008	Abbott, D. | Jones, S. | Ross, S.	2008	Curating Digital Records of Performance.	CIDOC			0
abbott2009	Abbott, Craig S. | Williams, William Proctor	2009	Introduction to Bibliographical and Textual Studies				0
abraham2002	Abraham, Tara	2002	(Physio)logical Circuits: The Intellectual Origins of the McCulloch-Pitts Neural Networks.	Journal of the History of the Behavioral Sciences			0
abrams1953	Abrams, M.H.	1953	The Mirror and the Lamp				0
abrams1971	Abrams, M.H.	1971	Natural Supernaturalism: Tradition and Revolution in Romantic Literature				0
academia2001	Real Academia Española	2001	Diccionario de la Lengua Española				0
aceti2005	Aceti, Lafranco	2005	European Avant-Garde: Art, Borders and Culture in Relationship to Mainstream Cinema and New Media	University of the Arts London			0
achaleke2011	Achaleke, B. | Harwood, G. | Koblin, A. | Yan, L. | Peixoto, T.	2011	Guinea Pigs and Apples: Statement of the Digital Communities Jury.	Prix Ars Electronica International Compendium: CyberArts 2011			0
achtenberg1974	Achtenberg, Emily | Stone, Michael	1974	Tenants First! A Research and Organizing Guide to FHA Housing				0
aciman2009	Aciman, Alexander | Rensin, Emmett	2009	Twitterature: The World’s Greatest Books Retold Through Twitter				0
adamo1994	Adamo, Giovanni	1994	Bibliografia di informatica umanistica	Informatica e discipline umanistiche, Vol. 5			0
adams1995	Adams, John	1995	Risk				0
adams2003	Adams, Melissa	2003	Fembot Collective				0
adams2007a	Adams, Rick	2001	Magic word XYZZY				0
adams2007b	Adams, Rick	2001	The Real Colossal Cave				0
adams2007c	Adams, Rick	2001	A History of 'Adventure'	The Colossal Cave Adventure Page			0
addison1694	Addison, Joseph	1694	Virgil’s Fourth Georgic				0
adhikan2010	Adhikan, Richard	2010	Stuxnet: Dissecting the Worm,				0
adho	Alliance of Digital Humanities Organizations	2011	About	Alliance of Digital Humanities Organizations			0
adho2011	Alliance of Digital Humanities Organizations	2011	Preconference, Conference and Post-Conference Schedule.	Digital Humanities 2011			0
adler1938	Adler, Ada	1928	Suidae Lexicon				0
adorno1974	Adorno, T.	1974	Minima Moralia: Reflections from a Damaged Life				0
adorno1992	Adorno, Theodor	1992	Commitment.	Notes to Literature, Volume 2.			0
adorno1997	Adorno, Theodor	1997	Aesthetic Theory				0
adoum1946	Adoum, Jorge Enrique	1946	Nicolás Guillén en la Pampa Salitrera	El Siglo			0
aeri2009	Archival Education and Research Institute (AERI)	2009	Building the Future of Archival Education and Research				0
afflerbach1990	Afflerbach, Peter P.	1990	The Influence of Prior Knowledge on Expert Readers' Main Idea Construction Strategies	Reading Research Quarterly			0
agamben2007	Agamben, Giorgio	2007	Infancy and History: On the Destruction of Experience				0
agosti2007	Agosti, Maristella	2007	Roadmap for Multilingual Information Access in the European Library	Research and Advanced Technology for Digital Libraries			0
aguado2009	Aguando, Juan Miguel	2009	Self-observation, self-reference and operational coupling in social systems: Steps towards a coherent epistemology of mass media.	Empedocles: European Journal for the Philosphy of Communication.			0
aguiar1985	Aguiar, Fernando | Pestana, Silvestre	1985	Poemografias: Perspectivas da Poesia Visual Portuguesa				0
aguirre1959	Aquirre, Mirta	1959	Pólvora en Salvas	Hoy Domingo Magazine			0
ahn2006	Ahn, Luis von	2006	Games With a Purpose	Computer			0
ahrc2006	Arts and Humanities Research Council (AHRC),	2006	AHRC ICT Methods Network Workgroup on Digital Tools Development for the Arts and Humanities				0
